Schlüssel (Fundstelle|Stichwort)	Wortart (- = aus der Liste)	Beispielsatz (Lücke in [ ])
1/1|les	Begleiter	Voilà [les] amis de Hugo.
1/1|le jeu vidéo	-	C'est mon [jeu vidéo] préféré.
1/1|la tomate	-	Une [tomate] est rouge.
1/1|le rat	-	Le [rat] de Léo s'appelle Pépito.
1/1|le chat	-	Le [chat] dort sur le lit.
1/1|le chien	-	Mon [chien] s'appelle Rocky.
1/1|le poisson	-	Le [poisson] est dans l'eau.
1/1|la tortue	-	Ma [tortue] s'appelle Flash.
1/1|avec	Präposition	Je vais au parc [avec] mon chien.
1/1|d'accord	Ausdruck	On joue au foot ? – [D'accord] !
1/1|Je ne sais pas.	Ausdruck	– Où est Paul ? – [Je ne sais pas].
1/1|ici	Adverb	Viens [ici], Rocky !
1/1|depuis	Präposition	J'habite à Nantes [depuis] deux ans.
1/1|samedi	Nomen, m.	[Samedi], je vais au cinéma.
1/1|cool	Adjektiv	Ton skate est très [cool] !
1/1|alors	Adverb	Il pleut. [Alors], on reste à la maison.
1/1|dans	Präposition	Le chat est [dans] la chambre.
1/1|le quartier	-	Il y a un parc dans mon [quartier].
1/2|coucou	Ausruf	[Coucou], Mamie ! Ça va ?
1/2|c'est nous	Ausdruck	Sur la photo, [c'est nous], en vacances.
1/2|c'est moi	Ausdruck	Qui est à la porte ? – [C'est moi], Lucie !
1/2|être	Verb	Nous [sommes] dans la même équipe.
1/2|de	Präposition	Mon ami Youssef est [de] Marseille.
1/2|la rue	-	J'habite dans une petite [rue].
1/2|la Tunisie	Eigenname, f.	Le père de Sami est de [Tunisie].
1/2|sympa (fam.) / sympathique	Adjektiv	Ma nouvelle voisine est très [sympa].
1/2|dans la même classe	Ausdruck	Emma et moi, nous sommes [dans la même classe].
1/2|aussi	Adverb	J'aime le foot et j'aime [aussi] le basket.
1/2|ensemble	Adverb	Le samedi, on joue [ensemble].
1/2|le club	-	Je suis dans un [club] de théâtre.
1/2|le drone	-	Mon oncle a un [drone].
1/2|le club de drones	-	Le mardi, je vais au [club de drones].
1/2|la sixième	-	Mon petit frère est en [sixième].
1/2|la cinquième	-	Cette année, je suis en [cinquième].
1/2|le basket	-	Je joue au [basket] avec mes copains.
1/2|la série	-	C'est ma [série] préférée.
1/2|la danse	-	Ma sœur fait de la [danse].
1/2|souvent	Adverb	Je vais [souvent] chez mes grands-parents.
1/2|en retard	Ausdruck	Vite, nous sommes [en retard] !
1/2|c'est un peu compliqué	Ausdruck	Ma famille ? Ben, [c'est un peu compliqué].
1/2|Tu es d'où ?	Ausdruck	– [Tu es d'où] ? – Je suis de Bordeaux.
1/3|Qu'est-ce qu'il y a … ?	Ausdruck	[Qu'est-ce qu'il y a] dans ton sac ?
1/3|il y a	Ausdruck	Dans ma rue, [il y a] une boulangerie.
1/3|la question	-	J'ai une [question], Madame.
1/3|la réponse	-	Tu as la [réponse] ?
1/3|la cathédrale	-	La [cathédrale] est très vieille.
1/3|un/une	Begleiter	Dans le jardin, il y a [un] arbre.
1/3|des	Begleiter	Dans la rue, il y a [des] magasins.
1/3|comme	Präposition	J'aime les animaux [comme] les chats et les chiens.
1/3|la gare	-	Le train arrive à la [gare].
1/3|par exemple / p. ex.	Ausdruck	J'aime les fruits, [par exemple] les fraises.
1/3|pour	Präposition	Ce cadeau est [pour] toi !
1/3|le/la fan	Nomen, m./f.	Ma sœur est une grande [fan] de rap.
1/3|la science	-	La [science], c'est passionnant.
1/3|le/la fan de sciences	Nomen, m./f.	Léo est un [fan de sciences].
1/3|le magasin	-	Le [magasin] est fermé le dimanche.
1/3|le centre commercial	-	Il y a un cinéma dans le [centre commercial].
1/3|la boulangerie	-	J'achète du pain à la [boulangerie].
1/3|en plus	Ausdruck	Le parc est grand et, [en plus], il est gratuit.
1/3|entre	Präposition	La boulangerie est [entre] la gare et le parc.
1/3|Notre-Dame de Paris	Eigenname, f.	[Notre-Dame de Paris] est une grande cathédrale.
1/3|la Tour Montparnasse	Eigenname, f.	De la [Tour Montparnasse], on voit tout Paris.
1/3|le Stade de France	Eigenname, m.	Le grand match est au [Stade de France].
1/3|Bercy	Eigenname	Le concert est à [Bercy].
1/3|le Musée des Arts forains	Eigenname, m.	Au [Musée des Arts forains], il y a de vieux manèges.
1/3|Bastille	Eigenname	On se retrouve à la place de la [Bastille].
1/3|le Bois de Vincennes	Eigenname, m.	Le dimanche, on fait du vélo dans le [Bois de Vincennes].
1/3|la Coulée verte	Eigenname, f.	La [Coulée verte] est un long jardin.
M1|en cours	Ausdruck	[En cours], on parle français.
M1|le français	-	J'aime beaucoup le [français] !
M1|Qu'est-ce que c'est ?	Ausdruck	Oh, regarde ! [Qu'est-ce que c'est] ?
M1|l'alphabet	Nomen, m.	L'[alphabet] français a vingt-six lettres.
M1|C'est terminé !	Ausdruck	Posez vos stylos, [c'est terminé] !
M1|Comment on dit … ?	Ausdruck	[Comment on dit] « Hund » en français ?
M1|On dit …	Ausdruck	[On dit] « chien ».
M1|Comment on écrit … ?	Ausdruck	[Comment on écrit] ton nom ?
M1|On écrit …	Ausdruck	[On écrit] « merci » avec un c.
M1|en français/allemand	Ausdruck	Tu peux répéter [en français], s'il te plaît ?
M1|l'allemand	Nomen, m.	Au collège, j'apprends l'[allemand] et l'anglais.
M1|le cahier	-	Mon [cahier] de français est bleu.
M1|le stylo	-	Tu as un [stylo] pour moi ?
M1|la feuille	-	Prenez une [feuille], s'il vous plaît.
2/A|mon/ma/mes	Begleiter	Voilà [ma] sœur et mes parents.
2/A|la famille	-	Ma [famille] habite à Toulouse.
2/Voc|les parents	Nomen, m. pl.	Mes [parents] travaillent à Paris.
2/Voc|le père	-	Mon [père] s'appelle Karim.
2/Voc|la mère	-	Ma [mère] est prof de maths.
2/Voc|les grands-parents	Nomen, m. pl.	Mes [grands-parents] habitent à la campagne.
2/Voc|le grand-père	-	Mon [grand-père] a soixante-dix ans.
2/Voc|la grand-mère	-	Ma [grand-mère] fait des gâteaux super.
2/Voc|les frères et sœurs	Nomen, m. pl.	Tu as des [frères et sœurs] ?
2/Voc|le frère	-	Mon [frère] joue au foot.
2/Voc|la sœur	-	Ma [sœur] a quinze ans.
2/Voc|le demi-frère	-	Mon [demi-frère] habite avec son père.
2/Voc|la demi-sœur	-	J'ai une [demi-sœur], elle s'appelle Zoé.
2/Voc|l'oncle	Nomen, m.	Mon [oncle] a un restaurant.
2/Voc|la tante	-	Ma [tante] habite à Bruxelles.
2/Voc|le cousin / la cousine	Nomen, m./f.	Mon [cousin] vient ce week-end.
2/Voc|l'enfant	Nomen, m./f.	Mes voisins ont un [enfant].
2/Voc|le fils	-	Paul est le [fils] de ma tante.
2/Voc|la fille	-	Emma est la [fille] de mon oncle.
2/Voc|le copain / la copine	Nomen, m./f.	Ma [copine] Julie est très drôle.
2/Voc|l'animal	Nomen, m.	Tu as un [animal] ?
2/Voc|le lapin	-	Mon [lapin] mange des carottes.
2/1|avoir	Verb	Mes cousins [ont] un grand jardin.
2/1|avoir … ans	Ausdruck	Mon grand-père [a quatre-vingts ans].
2/1|Je n'ai pas de frères et sœurs.	Ausdruck	Je suis fille unique : [je n'ai pas de frères et sœurs].
2/1|la moto	-	Mon oncle a une [moto] rouge.
2/1|être fan de qn/qc	Ausdruck	Mon frère [est fan de] basket.
2/1|comme moi	Ausdruck	Lou aime les mangas, [comme moi].
2/1|à la maison	Ausdruck	Le dimanche, je reste [à la maison].
2/1|ils/elles s'appellent	Ausdruck	J'ai deux chats : [ils s'appellent] Tic et Tac.
2/1|c'est vrai	Ausdruck	– Le prof est malade ? – Oui, [c'est vrai].
2/1|c'est drôle	Ausdruck	Regarde la vidéo, [c'est drôle] !
2/1|chez	Präposition	Ce soir, je dors [chez] ma cousine.
2/1|moi aussi	Ausdruck	– J'aime le chocolat. – [Moi aussi] !
2/1|je voudrais	Ausdruck	[Je voudrais] un chien pour mon anniversaire.
2/1|le beau-père	-	Mon [beau-père] est très sympa.
2/1|la belle-mère	-	La [belle-mère] de Tom s'appelle Anne.
2/1|être contre (qn/qc)	Ausdruck	Un chien à la maison ? Mon père [est contre].
2/1|l'allergie	Nomen, f.	Ma sœur a une [allergie] aux chats.
2/1|c'est nul	Ausdruck	Pas de télé ce soir ? [C'est nul] !
2/1|oui et non	Ausdruck	– Tu aimes le collège ? – Euh… [oui et non].
2/1|Je n'ai pas d'animal.	Ausdruck	J'aime les chats, mais [je n'ai pas d'animal].
2/1|chou	Adjektiv	Regarde le petit lapin, il est trop [chou] !
2/1|encore	Adverb	Tu es [encore] en retard !
2/1|c'est dommage	Ausdruck	Tu ne viens pas ? [C'est dommage] !
2/2|Qui… ?	Pronomen	[Qui] est sur la photo ?
2/2|ton/ta/tes	Begleiter	C'est [ton] vélo ?
2/2|son/sa/ses	Begleiter	Hugo est avec [sa] sœur.
2/2|le week-end	-	Le [week-end], je fais du vélo.
2/2|il/elle m'énerve	Ausdruck	Mon petit frère prend mes affaires, [il m'énerve] !
2/2|l'arrière-grand-mère	Nomen, f.	Mon [arrière-grand-mère] a quatre-vingt-dix ans.
2/2|l'arrière-grand-père	Nomen, m.	Mon [arrière-grand-père] habite en Bretagne.
2/2|il/elle habite	Ausdruck	Ma tante ? [Elle habite] à Lille.
2/2|ils/elles habitent	Ausdruck	Mes cousins ? [Ils habitent] à Nice.
2/2|près	Adverb	Le collège est tout [près].
2/2|près de	Präposition	J'habite [près de] la gare.
2/2|la pâtisserie	-	Les gâteaux de la [pâtisserie] sont délicieux.
2/2|Mes parents sont séparés.	Ausdruck	[Mes parents sont séparés]. J'habite avec ma mère.
2/2|la Guadeloupe	Eigenname, f.	Ma grand-mère habite en [Guadeloupe].
2/2|parfois	Adverb	[Parfois], je vais au collège à vélo.
2/2|un peu	Ausdruck	Je parle [un peu] français.
2/2|quand même	Ausdruck	Il pleut, mais on va au parc [quand même].
2/2|la chambre	-	Ma [chambre] est petite, mais jolie.
2/2|un week-end sur deux	Ausdruck	Je vais chez mon père [un week-end sur deux].
2/2|le problème	-	Pas de [problème], je t'aide !
2/2|C'est l'horreur !	Ausdruck	Encore des devoirs de maths ? [C'est l'horreur] !
2/2|pour moi	Ausdruck	Un gâteau [pour moi] ? Merci !
2/2|pendant	Präposition	[Pendant] le film, on mange du pop-corn.
2/2|les vacances	Nomen, f. pl.	Pendant les [vacances], je vais à la mer.
2/2|la Bretagne	Eigenname, f.	En été, nous allons en [Bretagne].
2/3|Qu'est-ce que tu fais ?	Ausdruck	Salut, Max ! [Qu'est-ce que tu fais] ce soir ?
2/3|Qu'est-ce que … ?	Ausdruck	[Qu'est-ce que] tu manges à midi ?
2/3|est-ce que	Ausdruck	[Est-ce que] tu aimes le rap ?
2/3|travailler	Verb	Ma mère [travaille] dans un hôpital.
2/3|écouter (qn/qc)	Verb	Le soir, j'[écoute] la radio.
2/3|écouter de la musique	Ausdruck	Dans le bus, j'aime [écouter de la musique].
2/3|regarder qn/qc	Verb	Le soir, nous [regardons] un film.
2/3|la vidéo	-	Regarde la [vidéo] de Lina, elle est drôle !
2/3|raconter qc	Verb	Mon grand-père [raconte] toujours des histoires.
2/3|dessiner qc	Verb	Ma sœur [dessine] très bien.
2/3|le manga	-	Je lis un [manga] dans le bus.
2/3|rigoler	Verb	Avec mes copains, on [rigole] beaucoup.
2/3|aimer qn/qc	Verb	Nous [aimons] les animaux.
2/3|le foot(ball)	-	Le samedi, je joue au [foot].
2/3|jouer	Verb	Les enfants [jouent] dans la cour.
2/3|jouer à	Ausdruck	Tu [joues à] quoi, sur ta console ?
2/3|parler	Verb	Mon père [parle] trois langues.
2/3|parler de tout et de rien	Ausdruck	Avec ma copine, on aime [parler de tout et de rien].
2/3|chatter	Verb	Le soir, je [chatte] avec mes amis.
2/3|Internet	Nomen, m.	Mes grands-parents n'ont pas [Internet].
2/3|sur Internet	Ausdruck	Je cherche une recette [sur Internet].
2/3|l'école	Nomen, f.	Ma petite sœur va à l'[école] primaire.
2/3|toujours	Adverb	Le matin, j'ai [toujours] faim.
2/3|la semaine	-	Cette [semaine], on a un contrôle de maths.
2/3|beaucoup	Adverb	J'aime [beaucoup] la musique.
2/3|habiter	Verb	Nous [habitons] dans un petit appartement.
2/3|loin	Adverb	Le stade est [loin] de chez moi.
M2|le/la prof (fam.) / le professeur / la professeure	Nomen, m./f.	Notre [prof] de français est très sympa.
M2|l'élève	Nomen, m./f.	Dans ma classe, il y a vingt-quatre [élèves].
M2|bien	Adverb	Tu parles très [bien] français !
M2|Répète ! / Répétez !	Ausdruck	Je n'ai pas compris. [Répète], s'il te plaît !
M2|Vous comprenez ?	Ausdruck	C'est un exercice facile. [Vous comprenez] ?
M2|la phrase	-	Lisez la première [phrase], s'il vous plaît.
M2|plus fort	Ausdruck	Parle [plus fort], je n'entends rien !
M2|s'il te plaît	Ausdruck	Tu me donnes ton stylo, [s'il te plaît] ?
M2|s'il vous plaît	Ausdruck	Deux baguettes, [s'il vous plaît] !
M2|encore une fois	Ausdruck	Tu peux lire la phrase [encore une fois] ?
M2|bravo	Ausruf	Tout est juste ? [Bravo] !
M2|continuer (qc)	Verb	[Continue], tu es sur la bonne route !
M2|Je ne comprends pas.	Ausdruck	Pardon, Madame, [je ne comprends pas].
M2|Vous pouvez répéter ?	Ausdruck	Pardon, Monsieur, [vous pouvez répéter] ?
M2|Prends ! / Prenez !	Ausdruck	[Prenez] votre livre, s'il vous plaît.
M2|Lis ! / Lisez !	Ausdruck	[Lisez] le texte à la page dix.
M2|le texte	-	Le [texte] est un peu long.
M2|Réponds ! / Répondez !	Ausdruck	[Réponds] à la question, Lucas !
M2|chercher qn/qc	Verb	Je [cherche] mon cahier.
M2|le mot	-	Je ne comprends pas ce [mot].
M2|trouver qn/qc	Verb	Tu [trouves] ton stylo ?
M2|Écris ! / Écrivez !	Ausdruck	[Écrivez] la date dans votre cahier.
M2|fermer qc	Verb	Il fait froid. Tu [fermes] la fenêtre ?
M2|le livre	-	Ouvrez votre [livre] à la page vingt.
M2|maintenant	Adverb	On mange [maintenant] ?
M2|les devoirs	Nomen, m. pl.	Après l'école, je fais mes [devoirs].
M2|la fenêtre	-	Ouvre la [fenêtre], s'il te plaît.
M2|la porte	-	Ferme la [porte], il fait froid !
M2|la table	-	Le livre est sur la [table].
M2|la chaise	-	Il y a une [chaise] devant le bureau.
M2|le tableau	-	La prof écrit la date au [tableau].
3/Voc|le bureau	-	Mon ordinateur est sur le [bureau].
3/Voc|l'étagère	Nomen, f.	Mes livres sont sur l'[étagère].
3/Voc|l'armoire	Nomen, f.	Mes vêtements sont dans l'[armoire].
3/Voc|le lit	-	Mon chat dort sur mon [lit].
3/Voc|le coin	-	Ma guitare est dans le [coin].
3/Voc|la photo	-	Sur la [photo], c'est ma famille.
3/Voc|le coin (photo)	-	Dans mon [coin photo], il y a des photos de mes amis.
3/Voc|le mur	-	Il y a un poster sur le [mur].
3/Voc|l'ordinateur	Nomen, m.	Je fais mes devoirs sur l'[ordinateur].
3/Voc|la plante	-	Il y a une [plante] verte à côté de la fenêtre.
3/Voc|la guitare	-	Mon frère joue de la [guitare].
3/Voc|la console	-	Ma [console] est sous la télé.
3/Voc|l'enceinte	Nomen, f.	J'écoute de la musique avec mon [enceinte].
3/Voc|le poster	-	J'ai un [poster] de mon chanteur préféré.
3/Voc|sur	Präposition	Le chat est [sur] la chaise.
3/Voc|sous	Präposition	Mes chaussures sont [sous] le lit.
3/Voc|devant	Präposition	On se retrouve [devant] le cinéma.
3/Voc|derrière	Präposition	Le jardin est [derrière] la maison.
3/Voc|à gauche (de)	Ausdruck	La cuisine est [à gauche].
3/Voc|à droite (de)	Ausdruck	La salle de bains est [à droite].
3/1|aujourd'hui	Adverb	[Aujourd'hui], nous avons cours de sport.
3/1|visiter qc	Verb	En été, nous [visitons] Paris.
3/1|l'appartement	Nomen, m.	Notre [appartement] est au troisième étage.
3/1|l'entrée	Nomen, f.	Les chaussures restent dans l'[entrée].
3/1|le couloir	-	Ma chambre est au bout du [couloir].
3/1|la salle de bains	-	Le matin, ma sœur reste longtemps dans la [salle de bains].
3/1|les toilettes	Nomen, f. pl.	Pardon, où sont les [toilettes] ?
3/1|la cuisine	-	Papa prépare le repas dans la [cuisine].
3/1|le salon	-	Le soir, on regarde la télé dans le [salon].
3/1|chez moi	Ausdruck	Tu viens [chez moi] après les cours ?
3/1|bien sûr	Ausdruck	– Tu m'aides ? – Mais [bien sûr] !
3/1|le bazar	-	Range ta chambre, c'est le [bazar] !
3/1|l'endroit	Nomen, m.	Le parc est un [endroit] calme.
3/1|l'endroit préféré	Nomen, m.	La plage, c'est mon [endroit préféré].
3/1|pour	Präposition	Je vais à la boulangerie [pour] acheter du pain.
3/1|rêver	Verb	La nuit, je [rêve] souvent de vacances.
3/1|la vue	-	De ma chambre, j'ai une belle [vue] sur la mer.
3/1|la télé (fam.) / la télévision	-	Le soir, mes parents regardent la [télé].
3/1|Chut !	Ausruf	[Chut] ! Le bébé dort.
3/1|ce n'est pas mon truc	Ausdruck	Le shopping ? Non, [ce n'est pas mon truc].
3/1|adorer qn/qc/(+ inf.)	Verb	J'[adore] les chats !
3/1|ça (fam.) / cela	Pronomen	Tu aimes [ça], les chips ?
3/1|en face de qn/qc	Ausdruck	La pharmacie est [en face de] l'école.
3/1|à côté de	Ausdruck	Le cinéma est [à côté de] la gare.
3/1|la douche	-	Après le sport, je prends une [douche].
3/1|très	Adverb	Ton chien est [très] mignon.
3/1|design	Adjektiv	La nouvelle cuisine est vraiment [design].
3/2|le truc	-	C'est quoi, ce [truc] ?
3/2|aimer	Verb	J'[aime] dessiner et lire.
3/2|aimer bien qn/qc/(+ inf.)	Verb	J'[aime bien] jouer aux cartes.
3/2|détester qn/qc/(+ inf.)	Verb	Je [déteste] ranger ma chambre.
3/2|le joueur / la joueuse	Nomen, m./f.	Ce [joueur] court très vite.
3/2|le joueur préféré / la joueuse préférée	Nomen, m./f.	Mbappé est mon [joueur préféré].
3/2|le chanteur / la chanteuse	Nomen, m./f.	La [chanteuse] a une très belle voix.
3/2|le chanteur préféré / la chanteuse préférée	Nomen, m./f.	Qui est ton [chanteur préféré] ?
3/2|le groupe	-	Mon frère joue dans un [groupe] de rock.
3/2|le groupe préféré	-	C'est mon [groupe préféré] !
3/2|faire qc	Verb	Qu'est-ce que tu [fais] samedi ?
3/2|faire du/de la/de l'/des	Ausdruck	Le mercredi, je [fais du] judo.
3/2|le piano	-	Ma cousine joue du [piano].
3/2|la bédé / BD (bande dessinée)	-	Je lis une [BD] dans ma chambre.
3/2|les arts martiaux	Nomen, m. pl.	Le judo et le karaté sont des [arts martiaux].
3/2|moi non	Ausdruck	– J'aime le rap. – [Moi non].
3/2|moi non plus	Ausdruck	– Je n'aime pas les maths. – [Moi non plus].
3/2|moi si	Ausdruck	– Tu n'aimes pas le foot ? – [Moi si] !
3/2|l'escalade	Nomen, f.	Le samedi, je fais de l'[escalade].
3/2|parce que	Konjunktion	Je reste à la maison [parce que] je suis malade.
3/2|l'activité	Nomen, f.	Le dessin, c'est mon [activité] préférée.
3/2|le rap	-	Mon frère écoute du [rap].
3/2|le look	-	J'aime bien ton [look] !
3/2|le PSG (le Paris-Saint-Germain)	Eigenname, m.	Mon oncle est fan du [PSG].
3/3|la vie	-	La [vie] au collège, c'est cool.
3/3|petit/petite	Adjektiv	Ma sœur est encore [petite].
3/3|grand/grande	Adjektiv	Notre maison est très [grande].
3/3|l'instrument	Nomen, m.	Tu joues d'un [instrument] ?
3/3|la star	-	Ce chanteur est une [star].
3/3|préféré/préférée	Adjektiv	La pizza, c'est mon plat [préféré].
3/3|joli/jolie	Adjektiv	Ta robe est très [jolie].
3/3|moche	Adjektiv	Ce pull est [moche] !
3/3|bleu/bleue	Adjektiv	Mon vélo est [bleu].
3/3|noir/noire	Adjektiv	Ma guitare est [noire].
3/3|blanc/blanche	Adjektiv	La neige est [blanche].
3/3|jaune	Adjektiv	Les bananes sont [jaunes].
3/3|rouge	Adjektiv	Ma trousse est [rouge].
3/3|vert/verte	Adjektiv	La plante est [verte].
3/3|ne … pas	Ausdruck	Je [ne joue pas] au foot.
3/3|ne … plus	Ausdruck	Mon frère [ne joue plus] de la guitare.
3/3|les affaires	Nomen, f. pl.	Range tes [affaires], s'il te plaît !
