2/Voc|influencer qn	-	La publicité [influence] les jeunes.
2/Voc|faire	-	Ce film m'a [fait] rire.
2/Voc|rire	-	Nous avons beaucoup [ri] pendant le film.
2/Voc|pleurer	-	Le bébé [pleure] parce qu'il a faim.
2/Voc|rendre qn/qc	-	Le bruit me [rend] nerveux.
2/Voc|triste	-	Ce film est très [triste].
2/Voc|agressif/agressive	-	Ce chien n'est pas [agressif].
2/Voc|donner envie (à qn) de	-	Tes photos me [donnent envie de] partir en voyage.
2/Voc|empêcher qn/qc de	-	Le bruit m'[empêche de] dormir.
2/Voc|mentir (à qn)	-	Ne me [mens] pas !
2/Voc|se moquer de qn/qc	-	Arrête de [te moquer de] moi !
2/1|les quatre coins	-	Des touristes viennent des [quatre coins] du monde.
2/1|voici	-	[Voici] mon nouvel appartement.
2/1|le vent	-	Aujourd'hui, il y a beaucoup de [vent].
2/1|prochain/prochaine	-	La semaine [prochaine], nous partons en vacances.
2/1|spécial/spéciale/spéciaux/spéciales	-	Ce soir, c'est un repas [spécial].
2/1|le produit	-	Ce magasin vend des [produits] régionaux.
2/1|produire qc	-	Cette région [produit] beaucoup de vin.
2/1|se plaindre (de qn/qc)	-	Les voisins [se plaignent] du bruit.
2/1|l'immeuble	-	J'habite au troisième étage d'un grand [immeuble].
2/1|pauvre	-	Beaucoup de familles [pauvres] vivent dans ce quartier.
2/1|riche	-	Il est devenu [riche] grâce à son entreprise.
2/1|la réputation	-	Ce quartier a une mauvaise [réputation].
2/1|tous/toutes	-	[Toutes] mes amies sont venues à la fête.
2/1|l'étage	-	L'ascenseur s'arrête à chaque [étage].
2/1|se passer	-	L'histoire [se passe] à Marseille.
2/1|espérer que	-	J'[espère que] tu vas bien.
2/1|moderniser qc	-	La ville veut [moderniser] la gare.
2/1|arrêter de	-	Mon père a [arrêté de] fumer.
2/1|faux/fausse	-	Ta réponse est [fausse].
2/1|libre	-	Tu es [libre] samedi soir ?
2/1|la mobylette	-	Mon grand-père allait au travail en [mobylette].
2/1|ailleurs	-	Ici, il y a trop de monde ; allons [ailleurs].
2/1|être à table	-	Ne téléphone pas quand on [est à table] !
2/1|stressé/stressée	-	Avant l'examen, je suis toujours [stressé].
2/1|sentir qc	-	Tu [sens] cette odeur de gâteau ?
2/2|la pub / la publicité	-	À la télé, il y a trop de [pub].
2/2|la marque	-	Quelle est la [marque] de ton portable ?
2/2|pousser qn à	-	La publicité nous [pousse à] acheter toujours plus.
2/2|le consommateur / la consommatrice	-	Les [consommateurs] veulent des produits moins chers.
2/2|décoder qc	-	En cours, nous apprenons à [décoder] les publicités.
2/2|séduire qn/qc	-	Cette pub veut [séduire] les jeunes.
2/2|la terre	-	Les carottes poussent dans la [terre].
2/2|associer qn/qc à qn/qc	-	On [associe] souvent la France à la baguette.
2/2|le slogan	-	Ce [slogan] est facile à retenir.
2/2|croire qn/qc	-	Je ne te [crois] pas !
2/2|le label	-	Ce [label] montre que le produit est bio.
2/2|se laver	-	Le matin, je [me lave] vite.
2/2|le logo	-	Le [logo] de cette marque est une pomme.
2/2|à la fois	-	Ce film est [à la fois] drôle et triste.
2/2|l'énergie	-	Le soleil est une [énergie] propre.
2/2|économique	-	La crise [économique] touche beaucoup de familles.
2/2|soutenir qn/qc	-	Mes parents me [soutiennent] toujours.
2/2|le chômage	-	Le [chômage] est un problème dans cette région.
2/2|l'élément	-	L'eau est un [élément] important de ce tableau.
2/2|la manière (de)	-	J'aime sa [manière] de parler.
2/2|attirer l'attention (de qn sur qn/qc)	-	Cette affiche [attire l'attention] de tout le monde.
2/2|le jeu de mots	-	Ce slogan est un [jeu de mots].
2/2|le savoir-faire	-	Cette entreprise est fière de son [savoir-faire].
3/A|le Maroc	-	Le [Maroc] se trouve en Afrique du Nord.
3/A|le désert	-	Nous avons dormi sous une tente dans le [désert].
3/A|la vallée	-	Le village se trouve dans une [vallée] verte.
3/A|le souk	-	Au [souk], on trouve des épices et des tapis.
3/A|la côte	-	Nous avons passé une semaine sur la [côte] atlantique.
3/A|le panneau solaire	-	Sur le toit, il y a un [panneau solaire].
3/Voc|le royaume	-	Le Maroc est un [royaume].
3/Voc|l'Afrique	-	Le Sénégal est un pays d'[Afrique].
3/Voc|la population	-	La [population] de la ville augmente.
3/Voc|amazigh	-	Dans les montagnes, beaucoup de gens parlent une langue [amazigh].
3/Voc|arabe	-	Au Maroc, l'[arabe] est une langue officielle.
3/Voc|le protectorat	-	Le Maroc a été un [protectorat] français jusqu'en 1956.
3/Voc|occuper qc	-	L'armée a [occupé] la ville pendant la guerre.
3/Voc|le pouvoir	-	Le roi a beaucoup de [pouvoir].
3/Voc|indépendant/indépendante	-	Le Maroc est [indépendant] depuis 1956.
3/Voc|la réforme	-	Le gouvernement prépare une [réforme] de l'école.
3/Voc|l'ONG (l'organisation non gouvernementale)	-	Ma tante travaille pour une [ONG] en Afrique.
3/Voc|la loi	-	Cette [loi] protège les enfants.
3/Voc|la religion	-	Chacun a le droit de choisir sa [religion].
3/Voc|la majorité	-	La [majorité] des élèves a voté pour le projet.
3/Voc|musulman/musulmane	-	Pendant le ramadan, les familles [musulmanes] mangent le soir.
3/Voc|juif/juive	-	À Fès, il y a un ancien quartier [juif].
3/Voc|chrétien/chrétienne	-	Noël est une fête [chrétienne].
3/Voc|historique	-	Le centre [historique] de la ville est magnifique.
3/Voc|le tiers	-	Un [tiers] des élèves viennent à vélo.
3/Voc|la moitié	-	J'ai mangé la [moitié] de la pizza.
3/Voc|l'agriculture	-	L'[agriculture] a besoin de beaucoup d'eau.
3/Voc|le tourisme	-	Le [tourisme] est important pour l'économie du pays.
3/1|l'aéroport	-	Nous arrivons à l'[aéroport] de Marrakech à midi.
3/1|avoir hâte (de)	-	J'[ai hâte de] voir la mer !
3/1|venir chercher qn/qc	-	Mon père va [venir me chercher] à la gare.
3/1|avoir le temps (de)	-	Aujourd'hui, je n'[ai pas le temps] de sortir.
3/1|la mosquée	-	La grande [mosquée] de Casablanca est immense.
3/1|le palais	-	Le [palais] du roi est fermé aux touristes.
3/1|pendant que	-	[Pendant que] tu fais les courses, je range la maison.
3/1|boire qc	-	Il faut [boire] beaucoup d'eau quand il fait chaud.
3/1|le thé	-	Au Maroc, on boit du [thé] à la menthe.
3/1|la menthe	-	J'aime le thé à la [menthe].
3/1|avoir du mal à	-	J'[ai du mal à] me lever le matin.
3/1|imaginer qc	-	[Imagine] une ville sans voitures !
3/1|accueillir qn	-	Ma famille d'accueil m'a [accueilli] très gentiment.
3/1|marchander (qc)	-	Au souk, il faut [marchander].
3/1|la lampe	-	J'ai acheté une [lampe] en métal au marché.
3/1|le cheval	-	Ma sœur fait du [cheval] le samedi.
3/1|il s'agit de	-	Dans ce livre, [il s'agit d']une famille qui déménage.
3/1|le toit	-	Le soir, on regarde les étoiles sur le [toit].
3/1|le meuble	-	Ce vieux [meuble] vient de ma grand-mère.
3/1|agréable	-	Le temps est très [agréable] aujourd'hui.
3/1|inchallah	-	– On se revoit l'été prochain ? – [Inchallah] !
3/1|la médina	-	Les rues de la [médina] sont très étroites.
3/1|le couscous	-	Le vendredi, ma grand-mère prépare un [couscous].
3/2|sec/sèche	-	Dans le désert, l'air est très [sec].
3/2|ocre	-	Les maisons de Marrakech ont une couleur [ocre].
3/2|le palmier	-	Il y a des [palmiers] le long de la plage.
3/2|la chaleur	-	En été, la [chaleur] est difficile à supporter.
3/2|grâce à	-	J'ai réussi [grâce à] ton aide.
3/2|cultiver qc	-	Mon grand-père [cultive] des tomates dans son jardin.
3/2|la datte	-	Les [dattes] sont très sucrées.
3/2|l'olive	-	Nous avons mangé des [olives] à l'apéritif.
3/2|le blé	-	On fait de la farine avec du [blé].
3/2|les remparts	-	La vieille ville est entourée de [remparts].
3/2|la caravane	-	Autrefois, les [caravanes] traversaient le désert.
3/2|le commerce	-	Le [commerce] est important dans cette ville.
3/2|avant de	-	Lave-toi les mains [avant de] manger.
3/2|le voleur / la voleuse	-	La police a arrêté le [voleur].
3/2|au-dessus (de qn/qc)	-	Un avion vole [au-dessus] de la ville.
3/2|en dessous (de qn/qc)	-	La température est [en dessous] de zéro.
3/2|par hasard	-	Je l'ai rencontré [par hasard] au supermarché.
3/2|le décor	-	Le [décor] du film est magnifique.
3/2|tourner (qc)	-	Ils ont [tourné] ce film au Maroc.
3/2|la clim (fam.) / la climatisation	-	Il fait chaud, allume la [clim] !
MA|l'enquête	-	La police mène l'[enquête].
MA|la disparition	-	La [disparition] du tableau est un mystère.
MA|disparaître	-	Mon chat a [disparu] depuis deux jours.
MA|incroyable	-	C'est [incroyable] !
MA|la police	-	Appelle la [police] !
MA|interroger qn	-	Le commissaire [interroge] les témoins.
MA|le témoin	-	Un [témoin] a vu le voleur.
MA|le témoignage	-	Le [témoignage] de la voisine est important.
MA|le vol	-	Le [vol] a eu lieu pendant la nuit.
MA|voler qc (à qn)	-	Quelqu'un a [volé] mon vélo.
MA|le gardien / la gardienne	-	Le [gardien] du musée n'a rien vu.
MA|déclarer qc	-	Le témoin a [déclaré] qu'il n'était pas là.
MA|arrêter qn	-	La police a [arrêté] deux suspects.
MA|le commissaire / la commissaire	-	La [commissaire] a trouvé un indice.
MA|le suspect / la suspecte	-	Le [suspect] refuse de parler.
MA|le cadre	-	Le [cadre] du tableau est en or.
MA|la toile	-	Le voleur a coupé la [toile].
MA|le mystère	-	Cette histoire reste un [mystère].
MA|le/la peintre	-	Monet est un [peintre] très connu.
MA|représenter qn/qc	-	Ce tableau [représente] un jardin.
MA|le directeur / la directrice	-	La [directrice] du musée est inquiète.
MA|le chef-d'œuvre	-	La Joconde est un [chef-d'œuvre].
MA|être sûr/sûre de	-	Je [suis sûr d']avoir fermé la porte.
MA|exactement	-	C'est [exactement] ce que je pensais.
MA|l'alcoolique	-	L'[alcoolique] a besoin d'aide pour arrêter de boire.
MA|rose	-	Elle porte un pull [rose].
MA|la dame	-	Une vieille [dame] attend le bus.
MA|la béquille	-	Depuis son accident, il marche avec une [béquille].
MA|le bras	-	Je me suis cassé le [bras].
MA|l'alarme	-	L'[alarme] a sonné à minuit.
MA|le/la spécialiste	-	C'est une [spécialiste] de l'art moderne.
MA|lourd/lourde	-	Cette valise est trop [lourde].
MA|tranquille	-	Ce quartier est très [tranquille].
MA|l'horloge	-	L'[horloge] de la gare indique midi.
MA|le tissu	-	Ce [tissu] est très doux.
MA|la possibilité	-	Il y a une autre [possibilité].
MA|rendre visite à qn	-	Ce week-end, je [rends visite à] ma grand-mère.
MA|la sortie	-	La [sortie] est à droite.
MA|en ce moment	-	[En ce moment], je lis un roman policier.
MA|difficile à	-	Ce texte est [difficile à] comprendre.
MA|avant que + subj.	-	Rentre [avant qu']il fasse nuit !
MA|se refermer	-	La porte [s'est refermée] toute seule.
MA|lequel/laquelle/lesquels/lesquelles	-	Il y a deux gâteaux : [lequel] tu préfères ?
MA|la sécurité	-	La [sécurité] des visiteurs est importante.
MA|contrôler qc	-	À l'entrée, on [contrôle] les sacs.
MA|la chaise roulante	-	Mon voisin se déplace en [chaise roulante].
MA|se séparer de qn/qc	-	Elle ne veut pas [se séparer de] son vieux vélo.
MA|juste	-	J'ai [juste] une petite question.
MA|à part ça	-	[À part ça], tout va bien ?
MA|l'indice	-	La commissaire cherche des [indices].
MA|le mètre pliant	-	Le menuisier mesure la table avec un [mètre pliant].
MB|le zoom	-	Fais un [zoom] sur le visage.
MB|la science-fiction	-	J'adore les films de [science-fiction].
MB|la comédie	-	Ce soir, on regarde une [comédie].
MB|documentaire	-	Nous avons vu un film [documentaire] sur les océans.
MB|idéal/idéale/idéaux/idéales	-	C'est l'endroit [idéal] pour un pique-nique.
MB|battre qn/qc	-	Notre équipe a [battu] Lyon.
MB|se battre	-	Le héros [se bat] contre le méchant.
MB|le super-pouvoir	-	Si j'avais un [super-pouvoir], je voudrais voler.
MB|voler	-	Les oiseaux [volent] au-dessus du lac.
MB|invisible	-	Dans ce film, le héros devient [invisible].
MB|la pensée	-	Elle lit dans les [pensées] des autres.
MB|inspirer qn/qc	-	Ce voyage a [inspiré] sa nouvelle BD.
MB|la réalité (virtuelle)	-	Avec ces lunettes, on entre dans la [réalité virtuelle].
MB|rimer (avec qc)	-	« Cœur » [rime] avec « bonheur ».
MB|le gag	-	Cette BD est pleine de [gags].
MB|la case	-	Dans la dernière [case], le héros sourit.
MB|le dessinateur / la dessinatrice	-	La [dessinatrice] signe ses albums au festival.
MB|le dessin	-	J'aime beaucoup ton [dessin].
MB|le passé	-	Dans le [passé], les gens vivaient sans électricité.
MB|le futur	-	Comment sera le monde dans le [futur] ?
MB|autobiographique	-	Cette BD est [autobiographique] : l'auteur raconte sa vie.
MB|le suspense	-	Ce film est plein de [suspense].
MB|humain/humaine	-	Le robot a l'air presque [humain].
MB|le chiffre	-	Écris le nombre en [chiffres].
MB|la production	-	La [production] de BD augmente chaque année.
MB|franco-belge	-	Tintin est une célèbre BD [franco-belge].
MB|japonais/japonaise	-	Les mangas sont des BD [japonaises].
MB|publier qc	-	Il a [publié] son premier album à vingt ans.
MB|le visiteur / la visiteuse	-	Le festival a accueilli des milliers de [visiteurs].
MB|la tonne	-	Ce camion transporte dix [tonnes] de sable.
MB|dédicacer qc (à qn)	-	L'auteur m'a [dédicacé] son livre.
MB|attribuer qc à qn	-	Le jury a [attribué] le prix à une jeune dessinatrice.
MB|récompenser qn (pour qc)	-	On l'a [récompensé] pour son courage.
MB|suivant/suivante	-	Répondez aux questions [suivantes].
MB|l'évènement	-	Ce concert est l'[évènement] de l'année.
MB|le cosplay	-	Au festival, beaucoup de jeunes font du [cosplay].
MB|la rencontre	-	La [rencontre] avec l'auteur était passionnante.
MB|le parc d'attractions	-	Pour mon anniversaire, nous allons au [parc d'attractions].
MC|respirer	-	[Respire] calmement avant de parler.
MC|le rythme	-	Cette chanson a un [rythme] très rapide.
MC|les paroles	-	Je ne comprends pas les [paroles] de cette chanson.
MC|quelques	-	J'ai [quelques] questions.
MC|le slam	-	Grand Corps Malade est connu pour son [slam].
MC|la voix	-	Cette chanteuse a une très belle [voix].
MC|mélanger qc	-	[Mélange] la farine et le sucre.
MC|passer qc (à qn)	-	La radio [passe] ma chanson préférée !
MC|le clip (vidéo)	-	Le [clip] de cette chanson a été tourné à Paris.
MC|la strophe	-	Apprends la première [strophe] du poème.
MC|se ressembler	-	Les deux sœurs [se ressemblent] beaucoup.
MC|le vers	-	Ce poème a douze [vers].
MC|résumer qc	-	[Résume] le texte en trois phrases.
MC|d'après qn/qc	-	[D'après] la météo, il va neiger.
MC|le titre	-	Quel est le [titre] de ce livre ?
MC|le refrain	-	Tout le monde chante le [refrain].
MC|attendre qc (de qn/qc)	-	Qu'est-ce que tu [attends] de ce voyage ?
MC|la souffrance	-	La chanson parle de la [souffrance] après une séparation.
MC|ça se voit	-	Tu es fatigué, [ça se voit].
MC|le besoin	-	Chacun a [besoin] d'amis.
MD|le portrait	-	Nous faisons le [portrait] d'une femme célèbre.
MD|le pionnier / la pionnière	-	Elle était une [pionnière] de l'aviation.
MD|naître	-	Marie Curie est [née] en Pologne.
MD|mourir	-	Victor Hugo est [mort] en 1885.
MD|se marier	-	Mes parents [se sont mariés] en été.
MD|le mari	-	Son [mari] travaille aussi à l'hôpital.
MD|s'installer	-	Après leurs études, ils [se sont installés] à Paris.
MD|faire la connaissance de qn	-	En colo, j'ai [fait la connaissance d']une fille très drôle.
MD|publier qc	-	Le journal a [publié] son article.
MD|changer de qc	-	Elle a [changé] de travail l'année dernière.
MD|le divorce	-	Après le [divorce], les enfants habitent chez leur mère.
MD|inspirer qn	-	Cette femme m'[inspire] beaucoup.
MD|représenter qn/qc	-	Elle [représente] la France aux Jeux olympiques.
MD|le modèle	-	Ma grande sœur est mon [modèle].
MD|la découverte	-	La [découverte] de la pénicilline a sauvé des millions de vies.
MD|quelques	-	[Quelques] élèves ont oublié leurs devoirs.
MD|scientifique	-	Elle lit des revues [scientifiques].
MD|l'université	-	Mon frère étudie à l'[université] de Strasbourg.
MD|le risque	-	Il y a un [risque] de pluie cet après-midi.
MD|prendre un risque	-	Pour réussir, il faut parfois [prendre un risque].
MD|à la mode	-	Ces chaussures sont très [à la mode].
MD|non seulement… mais surtout	-	Elle est [non seulement] intelligente, mais surtout courageuse.
MD|développer qc	-	L'entreprise [développe] une nouvelle voiture.
MD|l'invention	-	L'[invention] de l'imprimerie a changé le monde.
MD|la possibilité	-	Cette école offre la [possibilité] d'étudier à l'étranger.
MD|suivre qn/qc	-	[Suis]-moi, je connais le chemin !
MD|recevoir qc	-	J'ai [reçu] une lettre de ma correspondante.
MD|à partir de	-	Le magasin est ouvert [à partir de] neuf heures.
MD|entier/entière	-	Il a mangé la tarte [entière] !
